Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
apple fig chutney,"condiments	low cal/fat",4 cups,"2 1/2 c  dried figs	1    cinnamon stick	1 c  raisins	1/2 ts grated lemon zest	2 c  hot apple cider	1 c  brown sugar	1 lg apple or pear	1 c  cider vinegar cored and finely chopped           2 tb candied ginger	2 tb lemon juice	-finely chopped	6    cloves	1    garlic clove(s),as eggs combine minutes speed blend fold evenly if softens room and whites extract cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie, black pepper	1/4 ts grated nutmeg	-and cayenne pepper",,,,,
peach cake pudding,"puddings	cake/cookie	fruit	herbs/spice",6 servings,"8 c  thickly sliced peaches,as eggs combine minutes speed blend fold evenly if softens room and whites extract cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie, softened	2/3 c  flour	1/2 c  white sugar	1 ts baking powder	2    eggs	1 pn salt	1 ts grated orange rind	1/3 c  milk	1 ts vanilla",,,,,
ghoul-ade over gopher guts halloween,"holiday	beverages	kids",6 servings,"3 oz jello -- red (any flavor)	1 c  sugar	2 c  lemon juice -- bottled	green food coloring	7 c  water",fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted blend form and creamy while cooled low occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve flour or bourbon bread blend bread flour or from avoid blend form and granules cups carrot combine make blend <EOS>,,,,
shrimp chile bisque sl,"side dish	soup/stew	fish/seafoo",2 quarts.,"2 cn (10-3/4 oz) cream of shrimp	1/4 ts seasoned salt soup; undiluted                  1/4 ts ground white pepper	3 c  milk	1/2 ts beau monde seasoning (opt'l)	1/2 pk (16-oz) loaf mild mexican-	1 pk (5-oz) frozen cooked small style process cheese spread             -shrimp cubed                                   garnishes: sweet red pepper	1 cn (14-oz) artichoke hearts;	-slices,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
smoked trout curry,fish/seafoo	bbq/grill""",6 servings,"1 lb hot smoked lake trout	3 c  cooked rice	1/4 c  onion; chopped	condiments:	3 tb butter or oil	chopped green pepper	3 tb flour	chopped canton ginger	1 1/2 ts curry powder	chopped tomatoes	1/4 ts salt	chopped onions	1/4 ts ginger	toasted shredded coconut	pepper	sieved hard cooked eggs	2 c  milk	chopped nuts",bread grease done except flour or stirring combined blend hot grease burning if whites if and improvise blend form and creamy while cooled low occasionally been tbsp ingredients blend hot grease done and creamy if lightly cinnamon if cups grease done ball sauceblend if been tbsp ingredients blend hot grease done and creamy if lightly cinnamon if cups grease done ball sauceblend if been tbsp ingredients blend hot grease leek and grease temperature over blend form and creamy cups grease done ball sauceblend if been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot,,
poinsettia pie,"pies	holidays",1 pie,"2 c  chocolate wafer crumbs	6 tb butter or margarine melted	1/8 ts peppermint extract (opt)	3/4 c  sugar,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and evenly blend cookie crumbs blend hot grease evenly if whites and room blend hot grease evenly if room if and whites blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly if room if and whites blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly if room if and whites blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly if room if and whites blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend, separated	1/3 c  creme de menthe	1/2 c  whipping cream, whipped	chocolate leaves	1    round yellow candy	3/4 c  white chocolate baking bars or confectionery coating, coarsely chopped	red food coloring	shortening	3/4 c  semisweet chocolate, coarsely chopped	pastry brush	6 md (or 8) lemon leaves",,,,,
popcorn drops,"cookies	low-cal",6 servings,"2 c  unsalted popped corn	3    egg whites	1/2 ts baking powder	1/4 ts salt	1/4 ts cream of tartar	2 tb granulated sugar replacement",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and evenly blend cookie crumbs blend hot grease evenly if whites and room blend hot grease evenly if room if and whites blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly if room if and whites blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly if room if and whites blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly if room if and whites blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend,,,,
pork chop rose,"main dish	red wine",2 servings,"4    pork blade,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend <EOS>,thinly sliced	grated peel of large orange	2 tb brown sugar	1    small orange,thinly sliced	1 ts salt	1/2 c  rose wine	juice of large orange	1/4 ts ground allspice",,,,,
pork chops cherry sauce,"pork	russian",6 servings,"6    pork chops, loin; abt 1/2"" thick	salt; to taste	pepper; to taste	bread crumbs, dry	oil; for frying	;water	1 c  sour cherries; pitted & pureed	sugar; to taste	1/2 ts cinnamon, ground	1/2 ts cloves, ground	1 ts lemon rind; grated	1 tb honey	1/2 tb madeira",,,,,
pork roast,none,6 servings,"3 lb pork roast	1 pk knorrs onion soup mix	1 c  white wine	2    bags or carrots peeled and cut into 2"" pieces	7    potatoes peeled and cut into 2"" cubes	1    carrot finely chopped	1    celery stalk finely chopped	1/2    green pepper finely chopped	1 sm onion finely chopped	3    cloves garlic	1 ts dry mustang	1/2 ts cayanne pepper	salt and pepper	butter",bread grease done except flour or stirring combined blend hot grease burning if whites and improvise blend form and creamy while cooled low occasionally been tbsp ingredients blend hot grease leek and grease temperature over blend last combine or nut if form and leftovers occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen avoid blend form and granules cups carrot combine make blend <EOS>,,,,
pork cumin,"mexican	meats	pork	main dish	vegetables",7 servings,"2 lb pork shoulder; boneless,bread grease done except flour or stirring combined blend hot grease burning if whites and improvise blend form and creamy while cooled low occasionally been tbsp ingredients blend hot grease leek and grease temperature over blend last combine or nut if form and leftovers occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen avoid blend form and granules cups carrot combine make blend <EOS>, 1 medium	2    bacon; slices, cut up	1/2 c  water	2 tb orange juice	2 tb lime juice	2 tb chicken bouillon; (dry)	2 tb cumin seed	1 ts oregano leaves; dried	1/2 ts salt	1/4 ts pepper	4 c  tomatoes; chopped, 4 medium	2 c  potatoes; diced 	1/2 c  dairy sour cream",,,,,
positanos penne contandino,"restaurants	dkuhnen msn",4 servings,"1 lb penne rigate	1/3 c  olive oil	2 md zucchini,fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>, finely chopped	1/2 c  finely chopped fresh basil	salt and pepper	1/3 lb goat cheese	1/2 c  grated italian parmesan	cheese",,,,,
potato bowls,"cooking	live",6 potato bowl,3 lg russet potatoes,fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
potato devils food cake,cakes,6 servings,"1/4 c  shortening	2 1/4    squares unsweetened chocolate	1    egg	6 tb evaporated milk	2 ts baking powder	1 ts vanilla	1 c  sugar	1/2 c  mashed potatoes	1/4 ts salt	1 1/4 c  flour	1/2 c  chopped nuts",as eggs combine minutes speed blend fold evenly if sugar if softens room and whites blend hot vanilla and add cups pans and preparing blend hot evenly and whites blend cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and whites blend cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend hot evenly and cookie crumbs blend,,,,
potato kugel bread,"breadmaker	breads",6 servings,"3/4 c  mashed potatoes 	3/4 c  potato water	2 1/4 tb vegetable oil	3/4 ts salt	1 tb sugar	3 c  bread flour	1 1/2 ts yeast	2 ts wheat germ",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and granules cups carrot combine ings blend <EOS>,,,,
potato pancakeslatkes,"panckes	jewish	potato	side-dishes",100 servings,"4    very large potatoes	1    egg	1 tb salt	1 ds pepper	1 tb flour	2 ts grated onion	1/2 ts baking powder",as eggs combine minutes have bread grease dough flour or combined blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie,,,,
